name,mass (g),GeoLocation
Jartai,20500,"(39.700000, 105.800000)"
Jelica,34000,"(43.833330, 20.441670)"
Jemlapur,450,
Jesenice,3667,"(46.421370, 14.052170)"
Jhung,5900,"(31.300000, 72.383330)"
Jiange,222,"(31.916670, 104.916670)"
Jianshi,600000,"(30.808330, 109.500000)"
Jilin,4000000,"(44.050000, 126.166670)"
Jodiya,100,"(22.680000, 70.313330)"
Jodzie,30,"(55.700000, 24.400000)"
Johnstown,40300,"(40.350000, -104.900000)"
Jolomba,483,"(-11.850000, 15.833330)"
Jonzac,5000,"(45.433330, -0.450000)"
Juancheng,100000,"(35.500000, 115.416670)"
Judesegeri,680,"(12.850000, 76.800000)"
Jumapalo,32490,"(-7.716670, 111.200000)"
Junan,950,"(35.200000, 118.800000)"
Juromenha,25250,"(38.740280, -7.270000)"
Juvinas,91000,"(44.716670, 4.300000)"
Kaba,3000,"(47.350000, 21.300000)"
Kabo,13400,"(11.850000, 8.216670)"
Kadonah,89,"(27.083330, 78.333330)"
Kaee,230,"(27.250000, 79.966670)"
Kagarlyk,1900,"(49.866670, 30.833330)"
Kaidun,2000,"(15.000000, 48.300000)"
Kainsaz,200000,"(55.433330, 53.250000)"
Kakangari,350,"(12.383330, 78.516670)"
Kakowa,577,"(45.133330, 21.666670)"
Kalaba,950,"(-6.833330, 29.500000)"
Kalumbi,4500,"(17.833330, 73.983330)"
Kamalpur,2770,"(26.033330, 81.466670)"
Kamiomi,448,"(36.041670, 139.956670)"
Kamsagar,1293,"(14.183330, 75.800000)"
Kandahar (Afghanistan),299,"(31.600000, 65.783330)"
Kangean,1630,"(-7.000000, 115.500000)"
Kangra Valley,400,"(32.083330, 76.300000)"
Kapoeta,11355,"(4.700000, 33.633330)"
Kaprada,1600,"(20.339160, 73.223290)"
Kaptal-Aryk,3500,"(42.450000, 73.366670)"
Karakol,3000,"(47.216670, 81.016670)"
Karatu,2220,"(-3.500000, 35.583330)"
Karewar,180,"(12.900000, 7.150000)"
Karkh,22000,"(27.800000, 67.166670)"
Karloowala,2950,"(31.583330, 71.600000)"
Karoonda,41730,"(-35.083330, 139.916670)"
Kasamatsu,710,"(35.366670, 136.766670)"
Kasauli,16820,"(29.583330, 77.583330)"
Katagum,1500,"(11.333330, 10.083330)"
Kavarpura,6800,"(25.143330, 75.813330)"
Kayakent,85000,"(39.263330, 31.780000)"
Kediri,3300,"(-7.750000, 112.016670)"
Kemer,5760,"(36.541940, 29.418220)"
Kendleton,6937,"(29.450000, -96.000000)"
Kendrapara,6669,"(20.462500, 86.702780)"
Kerilis,5000,"(48.400000, -3.300000)"
Kernouve,80000,"(48.116670, -3.083330)"
Kesen,135000,"(38.983330, 141.616670)"
Khairpur,13600,"(29.533330, 72.300000)"
Khanpur,3698,"(25.550000, 83.116670)"
Kharkov,1500,"(50.625000, 35.075000)"
Kheragur,450,"(26.950000, 77.883330)"
Khetri,100,"(28.016670, 75.816670)"
Khmelevka,6109,"(56.750000, 75.333330)"
Khohar,9700,"(25.100000, 81.533330)"
Khor Temiki,3200,"(16.000000, 36.000000)"
Kidairat,100000,"(14.000000, 28.000000)"
Kiel,738,"(54.400000, 10.150000)"
Kiffa,1500,"(16.583330, -11.333330)"
Kijima (1906),331,"(36.850000, 138.383330)"
Kikino,195,"(55.000000, 34.000000)"
Kilabo,19000,"(12.766670, 9.800000)"
Kilbourn,772,"(43.583330, -89.600000)"
Killeter,140,"(54.666670, -7.666670)"
Kingai,67,"(11.633330, 24.683330)"
Kirbyville,98,"(30.750000, -95.950000)"
Kisvarsány,1550,"(48.166670, 22.308330)"
Kitchener,203,"(43.383330, -80.383330)"
Klein-Wenden,3250,"(51.600000, 10.800000)"
Knyahinya,500000,"(48.900000, 22.400000)"
Kobe,136,"(34.733330, 135.166670)"
Kokubunji,11510,"(34.300000, 133.950000)"
Komagome,238,"(35.733330, 139.750000)"
Konovo,90,"(42.516670, 26.166670)"
Košice,4300,"(48.763670, 21.176330)"
Krähenberg,16500,"(49.326940, 7.464720)"
Krasnoi-Ugol,2440,"(54.033330, 40.900000)"
Krasnyi Klyuch,4000,"(54.333330, 56.083330)"
Krutikha,845,"(56.800000, 77.000000)"
Krymka,50000,"(47.833330, 30.766670)"
Kukschin,2250,"(51.150000, 31.700000)"
Kulak,454,"(30.731110, 66.802220)"
Kuleschovka,6000,"(50.750000, 33.500000)"
Kulp,3719,"(41.116670, 45.000000)"
Kunashak,200000,"(55.783330, 61.366670)"
Kunya-Urgench,1100000,"(42.250000, 59.200000)"
Kushiike,4460,"(37.050000, 138.383330)"
Kusiali,5,"(29.683330, 78.383330)"
Kutais,23,"(44.516670, 39.300000)"
Kuttippuram,45000,"(10.833330, 76.033330)"
Kuznetzovo,4047,"(55.200000, 75.333330)"
Kyushu,45000,"(32.033330, 130.633330)"
La Bécasse,2800,"(47.083330, 1.750000)"
La Charca,399,"(20.666670, -101.283330)"
La Colina,2000,"(-37.333330, -61.533330)"
La Criolla,45000,"(-31.233330, -58.166670)"
Laborel,3833,"(44.283330, 5.583330)"
Lahrauli,900,"(26.783330, 82.716670)"
L'Aigle,37000,"(48.766670, 0.633330)"
Lakangaon,213,"(21.866670, 76.033330)"
Lalitpur,372,"(24.450000, 78.566670)"
Lancé,51700,"(47.700000, 1.066670)"
Lancon,7000,"(43.750000, 5.116670)"
Långhalsen,2300,"(58.850000, 16.733330)"
Lanxi,1282,"(46.241670, 126.196110)"
Lanzenkirchen,7000,"(47.750000, 16.233330)"
Laochenzhen,14250,"(33.133330, 115.166670)"
Launton,1060,"(51.900000, -1.116670)"
Lavrentievka,800,"(52.450000, 51.566670)"
Le Pressoir,3000,"(47.166670, 0.433330)"
Le Teilleul,780,"(48.533330, -0.866670)"
Leedey,51500,"(35.883330, -99.333330)"
Leeuwfontein,460,"(-25.666670, 28.366670)"
Leighlinbridge,271,"(52.666670, -6.966670)"
Leighton,877,"(34.583330, -87.500000)"
Leonovka,700,"(52.266670, 32.850000)"
Les Ormes,125,"(48.350000, 3.250000)"
Lesves,2000,"(50.366670, 4.733330)"
Lichtenberg,4000,"(-26.150000, 26.183330)"
Lillaverke,6862,"(56.650000, 15.866670)"
Limerick,50000,"(52.566670, -8.783330)"
Linum,1862,"(52.750000, 12.900000)"
Lishui,498,"(31.633330, 118.983330)"
Lissa,12800,"(50.200000, 14.850000)"
Little Piney,491,"(37.916670, -92.083330)"
Lixna,5213,"(56.000000, 26.433330)"
Lodran,1000,"(29.533330, 71.800000)"
Lohawat,40000,"(26.965560, 72.626670)"
Lorton,330,"(38.700660, -77.211630)"
Los Martinez,25,"(38.000000, -0.833330)"
Lost City,17000,"(36.008330, -95.150000)"
Louisville,1300,"(38.250000, -85.750000)"
Łowicz,59000,"(52.000000, 19.916670)"
Lua,9241,"(24.950000, 75.150000)"
Lucé,3500,"(47.850000, 0.483330)"
Lumpkin,340,"(32.033330, -84.766670)"
Lunan,2520,"(24.800000, 103.300000)"
Lundsgård,11000,"(56.216670, 13.033330)"
Luotolax,885,"(61.200000, 27.700000)"
Luponnas,14000,"(46.216670, 5.000000)"
Lusaka,,"(-7.216670, 29.433330)"
Mabwe-Khoywa,540,"(19.000000, 97.000000)"
Macau,1500,"(-5.200000, -36.666670)"
Machinga,93200,"(-15.212220, 35.242220)"
Macibini,1995,"(-28.833330, 31.950000)"
Madhipura,1000,"(25.916670, 86.366670)"
Madiun,400,"(-7.750000, 111.533330)"
Madrid,400,"(40.416670, -3.716670)"
Mafra,600,"(-26.166670, -49.933330)"
Magnesia,5000,"(37.866670, 27.516670)"
Magombedze,667,"(-19.483330, 31.650000)"
Mahadevpur,70500,"(27.666670, 95.783330)"
Maigatari-Danduma,4629,"(12.833330, 9.383330)"
Malaga,150,"(32.216670, -104.000000)"
Malakal,2000,"(9.500000, 31.750000)"
Malampaka,470,"(-3.133330, 33.516670)"
Malotas,,"(-28.933330, -63.233330)"
